,Число месяца,UTC,T,dd,FF,ww,N,vv,U,PPP,hhh,month
0,1,00:00:00,1.0,Западный,4,,8.0,10.0,,1016.0,390.0,1
1,1,00:30:00,1.0,Западный,4,,8.0,10.0,,1016.0,390.0,1
2,1,01:00:00,1.0,Западный,4,,8.0,10.0,,1017.0,420.0,1
3,1,01:30:00,1.0,Западный,4,,6.0,10.0,,1017.0,420.0,1
4,1,02:00:00,0.0,Западный,4,,6.0,10.0,,1017.0,390.0,1
5,1,02:30:00,0.0,Западный,4,,6.0,10.0,,1017.0,390.0,1
6,1,03:00:00,0.0,Западный,3,,8.0,10.0,,1017.0,630.0,1
7,1,03:30:00,0.0,Ю-З,2,,8.0,10.0,,1017.0,450.0,1
8,1,04:00:00,0.0,Ю-З,2,,8.0,10.0,,1017.0,420.0,1
9,1,04:30:00,0.0,,0,,8.0,10.0,,1018.0,420.0,1
10,1,05:00:00,0.0,Западный,2,SN,8.0,2013-01-02 00:00:00,,1018.0,240.0,1
11,1,05:30:00,0.0,Западный,3,SN,8.0,5.0,,1018.0,330.0,1
12,1,06:00:00,-1.0,Ю-З,3,SN,6.0,10.0,,1018.0,900.0,1
13,1,06:30:00,-1.0,Ю-З,5,SN,6.0,10.0,,1018.0,780.0,1
14,1,07:00:00,0.0,Ю-З,3,SN,6.0,10.0,,1018.0,690.0,1
15,1,07:30:00,0.0,Ю-З,2,SN,6.0,10.0,,1018.0,240.0,1
16,1,08:00:00,0.0,Ю-З,2,,6.0,10.0,,1019.0,630.0,1
17,1,08:30:00,0.0,Ю-З,4,,6.0,10.0,,1019.0,930.0,1
18,1,09:00:00,1.0,Ю-З,4,,4.0,10.0,,1019.0,1080.0,1
19,1,09:30:00,1.0,Ю-З,4,,4.0,10.0,,1019.0,1080.0,1
20,1,10:00:00,2.0,Ю-З,5,,4.0,10.0,,1018.0,1080.0,1
21,1,10:30:00,2.0,Ю-З,5,,4.0,10.0,,1018.0,780.0,1
22,1,11:00:00,2.0,Ю-З,6,,4.0,10.0,,1018.0,780.0,1
23,1,11:30:00,2.0,Ю-З,6,,6.0,10.0,,1018.0,840.0,1
24,1,12:00:00,3.0,Ю-З,5,,6.0,10.0,,1018.0,840.0,1
25,1,12:30:00,3.0,Ю-З,4,,6.0,10.0,,1018.0,870.0,1
26,1,13:00:00,3.0,Ю-З,5,,6.0,10.0,,1018.0,930.0,1
27,1,13:30:00,3.0,Ю-З,5,,6.0,10.0,,1018.0,930.0,1
28,1,14:00:00,2.0,Ю-З,5,,4.0,10.0,,1018.0,900.0,1
29,1,14:30:00,2.0,Ю-З,3,,4.0,10.0,,1018.0,900.0,1
30,1,15:00:00,1.0,Южный,2,,,10.0,,1018.0,,1
31,1,15:30:00,1.0,Ю-З,3,,,10.0,,1018.0,,1
32,1,16:00:00,0.0,Ю-З,2,,,10.0,,1018.0,,1
33,1,16:30:00,0.0,Южный,2,,,10.0,,1018.0,,1
34,1,17:00:00,-1.0,Южный,3,,,10.0,,1018.0,,1
35,1,17:30:00,-1.0,Южный,3,,,10.0,,1018.0,,1
36,1,18:00:00,-1.0,Южный,3,,,10.0,,1018.0,,1
37,1,18:30:00,-1.0,Южный,3,,,10.0,,1017.0,,1
38,1,19:00:00,-1.0,Южный,2,,,10.0,,1017.0,,1
39,1,19:30:00,-1.0,Южный,3,,,10.0,,1017.0,,1
40,1,20:00:00,0.0,Южный,3,,8.0,10.0,,1017.0,1140.0,1
41,1,20:30:00,0.0,Ю-З,3,,8.0,10.0,,1017.0,840.0,1
42,1,21:00:00,1.0,Южный,3,,8.0,10.0,,1017.0,690.0,1
43,1,21:30:00,1.0,Ю-З,4,SNRA,8.0,10.0,,1016.0,690.0,1
44,1,22:00:00,1.0,Ю-З,3,,8.0,10.0,,1016.0,750.0,1
45,1,22:30:00,1.0,Ю-З,4,,8.0,10.0,,1016.0,990.0,1
46,1,23:00:00,1.0,Ю-З,3,SNRA,8.0,2013-05-04 00:00:00,,1017.0,540.0,1
47,1,23:30:00,1.0,Ю-З,2,SNRA,8.0,2013-04-02 00:00:00,,1017.0,450.0,1
48,2,00:00:00,1.0,Южный,2,SNRA,8.0,2013-09-02 00:00:00,,1017.0,300.0,1
49,2,00:30:00,1.0,Переменный,2,SNRA,8.0,2013-09-04 00:00:00,,1017.0,300.0,1
